trading_date,timestamp,script_name,direction,breakout_true,blocked_at,block_reason,block_value,close_price,volume,volume_ma20,ema_fast,ema_slow,ema_direction,kaufman_er,kaufman_threshold,kaufman_pass,adx,adx_prev,adx_threshold,adx_confirmed,rsi,davb_upper,davb_lower,davb_window,davb_vol_coeff,davb_breakout
2026-08-17,2026-08-17 10:10:02,NIFTY,SHORT,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.2221 < thr=0.40,24290.45,23075.0,42614.0,24292.938560813996,24307.315517277453,BEAR_HOLD,0.2220566318926577,0.4,FALSE,35.66284708140205,34.53126286307634,16.0,TRUE,32.27282484256661,24348.05,24282.5,10,46.86825117269597,
2026-08-17,2026-08-17 10:15:02,NIFTY,SHORT,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.2859 < thr=0.40,24282.15,26585.0,43303.0,24289.342373876,24303.720443380676,BEAR_HOLD,0.28590971272225985,0.4,FALSE,37.06378962683136,35.66286006281921,16.0,TRUE,29.782664115109156,24311.95,24282.5,10,45.536585583448456,SHORT
2026-08-17,2026-08-17 10:20:02,NIFTY,SHORT,FALSE,F3B_RSI_ENTRY,RSI not above short entry threshold (overbought gate),rsi=25.16 need>57.0,24263.8,124800.0,48577.75,24280.82824925067,24298.017522897724,BEAR_HOLD,0.4971363115693014,0.4,TRUE,38.89187166270349,37.0637980300544,16.0,TRUE,25.160434050649627,24311.95,24277.8,10,44.691716514079076,SHORT
2026-08-17,2026-08-17 10:25:02,NIFTY,SHORT,FALSE,F3B_RSI_ENTRY,RSI not above short entry threshold (overbought gate),rsi=22.90 need>57.0,24252.95,260.0,47970.0,24265.373666333635,24286.07920049629,BEAR_HOLD,0.5293324342548783,0.4,TRUE,42.510385039341166,40.76618487464912,16.0,TRUE,22.895395077842778,24310.85,24253.1,10,37.19173872977636,SHORT
2026-08-17,2026-08-17 10:30:02,NIFTY,SHORT,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.3810 < thr=0.40,24261.0,23985.0,49156.25,24268.056999666966,24287.229200496287,BEAR_HOLD,0.38095238095236617,0.4,FALSE,42.5656950246127,40.76618487464912,16.0,TRUE,28.009285758620635,24310.85,24253.1,10,38.97428285609012,
2026-08-17,2026-08-17 10:35:02,NIFTY,SHORT,FALSE,F3B_RSI_ENTRY,RSI not above short entry threshold (overbought gate),rsi=27.17 need>57.0,24257.55,28080.0,48285.25,24264.554666444645,24282.989314711103,BEAR_HOLD,0.5779092702169223,0.4,TRUE,44.236694963735864,42.5657220810739,16.0,TRUE,27.166643211162807,24310.85,24250.7,10,38.061138553819255,
2026-08-17,2026-08-17 10:40:02,NIFTY,SHORT,FALSE,F3B_RSI_ENTRY,RSI not above short entry threshold (overbought gate),rsi=26.39 need>57.0,24254.4,0.0,46296.25,24261.169777629766,24278.905126895235,BEAR_HOLD,0.655307994757511,0.4,TRUE,45.824013046526495,44.236689201770844,16.0,TRUE,26.38611068613136,24308.35,24250.7,10,37.26183504704005,
2026-08-17,2026-08-17 10:45:02,NIFTY,SHORT,FALSE,F3B_RSI_ENTRY,RSI not above short entry threshold (overbought gate),rsi=22.80 need>57.0,24238.4,2665.0,47749.0,24248.519901168787,24268.15886873936,BEAR_HOLD,0.640218878248945,0.4,TRUE,49.41554135639349,47.686324986213904,16.0,TRUE,22.802410026327337,24300.55,24236.05,10,34.7628917982964,
2026-08-17,2026-08-17 10:50:02,NIFTY,SHORT,FALSE,F3B_RSI_ENTRY,RSI not above short entry threshold (overbought gate),rsi=23.33 need>57.0,24239.15,88725.0,52052.0,24248.769901168787,24268.266011596505,BEAR_HOLD,0.6235612728503441,0.4,TRUE,49.55402928827097,47.686324986213904,16.0,TRUE,23.32808531005341,24300.55,24236.05,10,35.85618044410413,
2026-08-17,2026-08-17 10:55:02,NIFTY,SHORT,FALSE,F3B_RSI_ENTRY,RSI not above short entry threshold (overbought gate),rsi=25.48 need>57.0,24242.1,65.0,40690.0,24246.54660077919,24264.52800993986,BEAR_HOLD,0.6458476321208491,0.4,TRUE,50.46527441588318,49.55402271167032,16.0,TRUE,25.477628384555814,24294.3,24229.3,10,33.089583596668184,
